product_name,product_price,product_sold
Vivo Y19 (8GB + 128GB ROM) 6.53 Inch 16MP Triper Camera LTE (New) Full Set With 1 Year Warranty Original SmartPhones,RM398.00,765 sold
Vivo Y17 6GB RAM + 128GB ROM 6.35 Inch 13MP LTE (New) With 1 Year Warranty Original Smartphones,RM353.00,848 sold
Vivo Y50 8GB RAM + 128GB ROM 6.53 Inches 13MP Quad Camera LTE (New) Full Set With 1 Year Warranty Original SmartPhones,RM445.00,38 sold
Vivo V15 8GB RAM + 256GB ROM 6.53 Inch 24MP Triper Camera LTE Used Condition (98% Like As New) Original SmartPhones,RM415.00,40 sold
Oppo A3s 4GB RAM + 64GB ROM 6.2 Inch 13MP LTE (New) With 1 Year Warranty Original SmartPhones,RM267.00,230 sold
Oppo A56 5G (8GB RAM + 256GB ROM) 6.5 Inch l 13MP Camera l 5000mAh Battery New Original Smartphones With 1 Year Warranty,RM455.00,3 sold
Nokia C1-02 - Free Charger Original Nokia Product Feature Phones,RM38.00,1.2k sold
Vivo Y17 6GB RAM + 128GB ROM 6.35 Inch 13MP LTE (New) With 1 Year Warranty Original Smartphones,RM353.00,848 sold
Vivo Y19 (8GB + 128GB ROM) 6.53 Inch 16MP Triper Camera LTE (New) Full Set With 1 Year Warranty Original SmartPhones,RM398.00,765 sold
Nokia 3110 Classic - Free Charger Original Nokia Product Feature Phones,RM44.00,264 sold
Vivo Y19 (8GB + 128GB ROM) 6.53 Inch 16MP Triper Camera LTE (New) Full Set With 1 Year Warranty Original SmartPhones,RM398.00,765 sold
Vivo Y17 6GB RAM + 128GB ROM 6.35 Inch 13MP LTE (New) With 1 Year Warranty Original Smartphones,RM353.00,848 sold
Oppo F9 6GB RAM + 128GB ROM 6.3 Inch 16MP LTE (New) With 1 Year Warranty Original SmartPhones,RM298.00,123 sold
Oppo A3s 4GB RAM + 64GB ROM 6.2 Inch 13MP LTE (New) With 1 Year Warranty Original SmartPhones,RM267.00,230 sold
Vivo Y50 8GB RAM + 128GB ROM 6.53 Inches 13MP Quad Camera LTE (New) Full Set With 1 Year Warranty Original SmartPhones,RM445.00,38 sold
Oppo A5s 6GB RAM + 128GB ROM 6.2 Inch 13MP Dual Camera LTE (New) With 1 Year Warranty Original SmartPhones,RM298.00,28 sold
Nokia C1-02 - Free Charger Original Nokia Product Feature Phones,RM38.00,1.2k sold
Vivo Y81 Original Used Condition 98% Like As New 4GB RAM + 64GB ROM 6.22 Inch Original SmartPhones,RM189.00,116 sold
Oppo A56 5G (8GB RAM + 256GB ROM) 6.5 Inch l 13MP Camera l 5000mAh Battery New Original Smartphones With 1 Year Warranty,RM455.00,3 sold
Nokia 3110 Classic - Free Charger Original Nokia Product Feature Phones,RM44.00,264 sold
Vivo V15 8GB RAM + 256GB ROM 6.53 Inch 24MP Triper Camera LTE Used Condition (98% Like As New) Original SmartPhones,RM415.00,40 sold
Huawei Y7 Pro 4GB RAM + 128GB ROM  6.2 inches 13MP Dual Camera LTE (New) With 1 Year Warranty Original SmartPhones,RM299.00,116 sold
